Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
DTH12637Zm00004b00004	1.5664260311221017	-0.5728633830790002	1.0963664348351971	-0.5225108730778606	0.6013146779716484	0.8071701533132938	FALSE
DTM07209Zm00004b00006	2.163427263753431	0.5735560765245923	1.0987166752142847	0.5220236385442413	0.6016538721336238	0.8075117979825808	FALSE
RLX03066Zm00004b00001	22.07662369272593	0.18568600399372057	0.3560938594897017	0.5214524177974225	0.6020516441763664	0.8079319559338348	FALSE
RLC00002Zm00004b06870	1.9290319304571102	0.492151266289211	0.944069997631213	0.5213080253837943	0.6021522112261294	0.8079532132056241	FALSE
DHH00002Zm00004b01676	65.80015420217718	-0.10336524004541298	0.19851019828721553	-0.5207049357527639	0.6025723355125034	0.8080738428111252	FALSE
DHH02543Zm00004b00001	8.917166954627971	-0.25190180372100135	0.483531029848506	-0.5209630575310216	0.6023925065660455	0.8080738428111252	FALSE
RLC00074Zm00004b00030	2.08759336007228	0.5441086203409369	1.0446503962551468	0.5208523562442062	0.6024696272633006	0.8080738428111252	FALSE
RLX03823Zm00004b00003	2.850808796300833	-0.48195812571101015	0.9256100685448503	-0.520692397467862	0.6025810713328346	0.8080738428111252	FALSE
DHH00002Zm00004b06629	20.91990971206144	0.14484733381607529	0.27834054963594157	0.5203960903487826	0.6027875344878979	0.8082370541165065	FALSE
RLC00002Zm00004b07166	1.5020724801926848	0.6919080813746001	1.3307000436338323	0.5199579609880827	0.6030928759759795	0.8084191264136829	FALSE
RLG32184Zm00004b00001	3.3075658813650493	0.39751535110031505	0.7643574192475524	0.5200647512411621	0.6030184452082707	0.8084191264136829	FALSE
DHH00001Zm00004b02319	1.8470284039584794	-0.5207590896952158	1.0026172850636736	-0.5193996726898078	0.6034820595301982	0.8087170280160371	FALSE
DHH00002Zm00004b07694	62.36093135819496	-0.09245756016700378	0.17818518372073047	-0.5188846695127719	0.6038411690503488	0.8087170280160371	FALSE
DHH03346Zm00004b00001	2.7506734684748997	-0.5051503551946271	0.9734284888385487	-0.5189393581416031	0.6038030303465743	0.8087170280160371	FALSE
DTA00313Zm00004b00008	4.814115044061775	-0.37308362314378885	0.718952891500835	-0.5189263824573623	0.6038120792189303	0.8087170280160371	FALSE
DTM00473Zm00004b00083	5.1309944659949345	-0.3156014004246925	0.608133808389876	-0.5189670366465791	0.6037837283497087	0.8087170280160371	FALSE
